Epoch,Train_Loss,Val_Loss
1,1.6303149788975715,
2,1.2376377432346344,
3,1.0173854380846024,
4,1.0480479254722594,
5,1.0405455505549908,
6,1.1244240806102752,
7,0.9742860051989556,
8,1.2108603927493096,
9,0.9571476954221726,
10,1.1527914226651192,0.16959546715952456
11,1.0690219776034355,
12,1.1842696534991264,
13,1.032721223115921,
14,0.910320024907589,
15,0.9862970429360867,
16,0.9952116980552673,
17,1.1101527881920337,
18,0.9988362993597985,
19,0.9858833398222924,
20,1.0349196365773679,0.08454564440762624
21,1.0622345449924468,
22,0.8776752952933311,
23,0.8739267696440219,
24,1.0241207047998906,
25,1.1819656836390495,
26,0.93162181609869,
27,1.057040095835924,
28,1.0606942439973355,
29,0.9823449627757073,
30,0.9510092853307724,0.11424990242812783
31,1.0786168062090873,
32,0.8978558150827884,
33,1.023952877253294,
34,0.9473753368258476,
35,0.8777600964307785,
36,0.8084680225253105,
37,1.074169110506773,
38,1.0272365128397942,
39,0.9102605549693108,
40,0.9033572302758693,0.12728424335364252
41,1.1808940512239934,
42,0.8552027781903744,
43,1.0373717108368874,
44,1.0351552411913871,
45,1.145059652864933,
46,1.090008294582367,
47,1.087811897367239,
48,1.0362926400899888,
49,0.91739160618186,
50,0.9632797886729241,
